iter	RMSE
0	1873962.563
1	1794196.914
2	1716141.527
3	1644038.792
4	1574549.766
5	1508548.126
6	1446809.659
7	1388130.59
8	1333676.37
9	1278553.2
10	1229039.564
11	1180747.532
12	1136773.503
13	1093816.762
14	1053483.007
15	1016068.053
16	979095.3426
17	943260.459
18	910856.9207
19	880235.1723
20	850838.0051
21	822467.8542
22	795923.5239
23	773755.1565
24	750003.737
25	727805.1946
26	706854.5715
27	686741.8558
28	668287.0032
29	650694.378
30	633496.443
31	616309.0975
32	601187.4745
33	586657.4362
34	573686.8037
35	560723.451
36	548220.967
37	535726.2023
38	523590.2576
39	513041.6159
40	504057.3952
41	494301.2531
42	484238.4044
43	476960.9462
44	469035.8751
45	461274.4663
46	453287.0254
47	446314.9559
48	439686.0943
49	433639.5344
50	427238.3499
51	420869.5805
52	415592.6556
53	410457.1602
54	404971.5215
55	401181.4346
56	396250.1489
57	392072.0306
58	388902.6126
59	384798.2757
60	380031.5082
61	377061.8032
62	374450.3468
63	371541.1998
64	368704.2439
65	364931.6003
66	361715.5444
67	358247.3028
68	356047.7529
69	353527.9997
70	351705.9982
71	348930.2353
72	346860.5129
73	345353.2692
74	344044.9752
75	342411.2703
76	340818.3467
77	338916.0713
78	337313.4332
79	335744.6467
80	334414.7858
81	332281.2446
82	330773.0783
83	329393.6293
84	328301.4373
85	326436.4854
86	324678.6448
87	323113.2896
88	322153.1878
89	321595.6771
90	320416.6126
91	319509.1347
92	318096.1981
93	317158.1125
94	316252.1667
95	315600.7161
96	315051.9477
97	314630.7689
98	313565.8485
99	313061.3977
100	312631.5885
101	312358.8674
102	312016.0938
103	311288.3455
104	310890.8704
105	310312.6204
106	309087.2626
107	308689.466
108	308334.463
109	308112.7497
110	307877.8505
111	307399.4873
112	307115.4834
113	306902.7211
114	306202.2742
115	305984.3815
116	305440.5046
117	305224.3446
118	305193.723
119	304868.0625
120	304668.8236
121	303104.7775
122	302947.7635
123	302695.319
124	302517.8682
125	302071.0929
126	301489.7777
127	301322.4174
128	301154.1794
129	300055.6597
130	299343.4054
131	298966.6329
132	298889.9843
133	298630.3113
134	298393.4202
135	298199.1869
136	297762.498
137	297322.2836
138	296578.5824
139	296129.9678
140	295763.546
141	295526.3764
142	295173.5441
143	294686.956
144	294509.9243
145	294332.7293
146	294213.7532
147	294085.4682
148	293936.4258
149	293634.6246
150	293423.1008
151	293301.2113
152	293101.91
153	292968.0301
154	292525.2903
155	291922.1909
156	291754.6702
157	291739.3821
158	291215.2222
159	290076.8119
160	289919.3454
161	289474.5456
162	289158.0517
163	288565.047
164	288227.1646
165	287960.0174
166	287835.5513
167	286879.2984
168	286002.447
169	285898.8275
170	285073.1896
171	284736.674
172	284354.604
173	284211.8226
174	284049.9815
175	283260.9222
176	283100.5564
177	282979.9535
178	282287.752
179	282205.1558
180	281976.0677
181	281245.2809
182	280954.9929
183	280818.4507
184	279982.5884
185	279691.0942
186	279274.3364
187	279000.5934
188	278610.5152
189	278368.3796
190	277958.4648
191	277813.1862
192	277253.5809
193	276693.0853
194	276329.1621
195	276125.8837
196	275337.9685
197	274904.8168
198	274703.9857
199	274290.6796
200	273992.4472
201	273909.9667
202	273394.0043
203	273109.1434
204	272613.1038
205	272073.9217
206	271811.4292
207	271621.4701
208	271136.9228
209	270711.8689
210	270496.0666
211	270152.4685
212	269682.7109
213	269099.3809
214	268769.9612
215	268400.7604
216	268007.2956
217	267796.4933
218	267545.3907
219	266954.3469
